MINISTERIO DE DEFENSA NACIONAL,,,,,,,,,,,,,
POLICÍA NACIONAL,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
DIRECCIÓN DE INVESTIGACIÓN CRIMINAL E INTERPOL,,,,,,,,,,,,,
SECUESTRO,,,,,,,,,,,,,
PERÍODO  DEL 01 DE ENERO AL 31 DE DICIEMBRE AÑOS 2010-2016,,,,,,,,,,,,,
DIVIPOLA,DEPARTAMENTO POLÍTICO,MUNICIPIO_HECHO,MES,GENERO,EDAD,CLASE_EMPLEADO,2010,2011,2012,2013,2014,2015,2016
05001,ANTIOQUIA,MEDELLÍN (CT),ago,FEMENINO,20,EMPLEADO PARTICULAR,0,0,0,0,0,0,1
05001,ANTIOQUIA,MEDELLÍN (CT),ago,FEMENINO,36,EMPLEADO PARTICULAR,0,0,0,0,1,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),ago,FEMENINO,40,AMA DE CASA,0,0,0,0,0,0,1
05001,ANTIOQUIA,MEDELLÍN (CT),ago,MASCULINO,1,NO REPORTA,1,0,0,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),ago,MASCULINO,27,EMPLEADO PARTICULAR,0,0,0,0,0,1,0
05001,ANTIOQUIA,MEDELLÍN (CT),ago,MASCULINO,29,EMPLEADO PARTICULAR,0,0,1,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),sep,FEMENINO,23,COMERCIANTE,0,1,0,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),sep,FEMENINO,30,EMPLEADO PARTICULAR,0,0,0,0,0,1,0
05001,ANTIOQUIA,MEDELLÍN (CT),sep,MASCULINO,24,EMPLEADO PARTICULAR,0,1,0,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),sep,MASCULINO,25,EMPLEADO PARTICULAR,0,1,0,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),sep,MASCULINO,30,EMPLEADO PARTICULAR,0,0,0,0,0,2,0
05001,ANTIOQUIA,MEDELLÍN (CT),sep,MASCULINO,39,EMPLEADO PUBLICO,0,0,0,0,0,1,0
05001,ANTIOQUIA,MEDELLÍN (CT),sep,MASCULINO,46,EMPLEADO PARTICULAR,0,0,1,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),sep,MASCULINO,50,EMPLEADO PARTICULAR,0,0,0,1,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),sep,MASCULINO,55,EMPLEADO PARTICULAR,0,0,0,0,0,1,0
05001,ANTIOQUIA,MEDELLÍN (CT),oct,FEMENINO,28,EMPLEADO PARTICULAR,0,0,1,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),oct,MASCULINO,18,EMPLEADO PARTICULAR,0,0,0,0,0,0,1
05001,ANTIOQUIA,MEDELLÍN (CT),oct,MASCULINO,24,EMPLEADO PARTICULAR,0,0,0,0,0,0,1
05001,ANTIOQUIA,MEDELLÍN (CT),oct,MASCULINO,31,EMPLEADO PARTICULAR,0,0,0,0,0,0,1
05001,ANTIOQUIA,MEDELLÍN (CT),oct,MASCULINO,34,GANADERO,0,0,0,1,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),oct,MASCULINO,35,EMPLEADO PARTICULAR,0,0,0,0,0,0,1
05001,ANTIOQUIA,MEDELLÍN (CT),oct,MASCULINO,52,COMERCIANTE,0,0,1,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),nov,FEMENINO,18,ESTUDIANTE,0,1,0,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),nov,FEMENINO,21,DESEMPLEADO,0,0,0,0,0,1,0
05001,ANTIOQUIA,MEDELLÍN (CT),nov,FEMENINO,24,EMPLEADO PARTICULAR,0,0,0,0,0,1,0
05001,ANTIOQUIA,MEDELLÍN (CT),nov,MASCULINO,31,EMPLEADO PARTICULAR,0,1,0,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),nov,MASCULINO,49,EMPLEADO PARTICULAR,0,0,1,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),nov,MASCULINO,50,COMERCIANTE,1,0,0,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),dic,FEMENINO,1,DESEMPLEADO,0,0,0,1,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),dic,FEMENINO,23,ESTUDIANTE,1,0,0,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),dic,FEMENINO,33,EMPLEADO PARTICULAR,0,0,0,0,0,0,1
05001,ANTIOQUIA,MEDELLÍN (CT),dic,MASCULINO,35,COMERCIANTE,0,0,0,0,0,0,1
05001,ANTIOQUIA,MEDELLÍN (CT),dic,MASCULINO,53,COMERCIANTE,0,0,0,1,0,0,0
05031,ANTIOQUIA,AMALFI,jul,MASCULINO,30,EMPLEADO PARTICULAR,0,0,1,0,0,0,0
05031,ANTIOQUIA,AMALFI,sep,MASCULINO,21,EMPLEADO PARTICULAR,0,0,0,1,0,0,0
05031,ANTIOQUIA,AMALFI,sep,MASCULINO,27,EMPLEADO PARTICULAR,0,0,0,1,0,0,0
05038,ANTIOQUIA,ANGOSTURA,jul,FEMENINO,51,AMA DE CASA,0,0,0,1,0,0,0
05038,ANTIOQUIA,ANGOSTURA,jul,MASCULINO,68,EMPLEADO PARTICULAR,0,0,0,1,0,0,0
05042,ANTIOQUIA,SANTAFÉ DE ANTIOQUIA,ago,FEMENINO,8,ESTUDIANTE,0,0,0,0,1,0,0
05045,ANTIOQUIA,APARTADÓ,may,MASCULINO,0,NO REPORTA,0,1,0,0,0,0,0
05045,ANTIOQUIA,APARTADÓ,jul,MASCULINO,26,EMPLEADO PARTICULAR,1,0,0,0,0,0,0
05045,ANTIOQUIA,APARTADÓ,jul,MASCULINO,42,COMERCIANTE,0,0,0,1,0,0,0
05045,ANTIOQUIA,APARTADÓ,sep,FEMENINO,45,EMPLEADO PARTICULAR,0,0,0,1,0,0,0
05079,ANTIOQUIA,BARBOSA,mar,MASCULINO,27,EMPLEADO PARTICULAR,0,0,0,0,0,1,0
05079,ANTIOQUIA,BARBOSA,sep,MASCULINO,50,EMPLEADO PUBLICO,0,0,0,1,0,0,0
05079,ANTIOQUIA,BARBOSA,dic,MASCULINO,48,COMERCIANTE,0,0,0,1,0,0,0
05088,ANTIOQUIA,BELLO,mar,MASCULINO,12,ESTUDIANTE,0,0,0,0,0,0,1
05088,ANTIOQUIA,BELLO,mar,MASCULINO,41,GANADERO,1,0,0,0,0,0,0
05088,ANTIOQUIA,BELLO,jul,MASCULINO,17,ESTUDIANTE,0,0,0,0,0,1,0
05088,ANTIOQUIA,BELLO,jul,MASCULINO,22,EMPLEADO PARTICULAR,0,0,0,0,0,1,0
05088,ANTIOQUIA,BELLO,jul,MASCULINO,46,COMERCIANTE,1,0,0,0,0,0,0
05088,ANTIOQUIA,BELLO,ago,MASCULINO,33,POLITICO,0,1,0,0,0,0,0
05088,ANTIOQUIA,BELLO,oct,MASCULINO,37,EMPLEADO PARTICULAR,0,0,0,0,0,0,1
05091,ANTIOQUIA,BETANIA,feb,MASCULINO,17,ESTUDIANTE,0,0,0,1,0,0,0
05093,ANTIOQUIA,BETULIA,mar,FEMENINO,13,ESTUDIANTE,0,0,0,0,1,0,0
05101,ANTIOQUIA,CIUDAD BOLÍVAR,abr,MASCULINO,43,COMERCIANTE,1,0,0,0,0,0,0
05101,ANTIOQUIA,CIUDAD BOLÍVAR,abr,MASCULINO,72,AGRICULTOR,0,0,0,0,1,0,0
05107,ANTIOQUIA,BRICEÑO,ene,MASCULINO,24,GANADERO,1,0,0,0,0,0,0
05107,ANTIOQUIA,BRICEÑO,ene,MASCULINO,27,EMPLEADO PARTICULAR,1,0,0,0,0,0,0
05120,ANTIOQUIA,CÁCERES,feb,MASCULINO,20,EMPLEADO POLICIAL,0,0,0,0,1,0,0
05120,ANTIOQUIA,CÁCERES,ago,MASCULINO,33,AGRICULTOR,1,0,0,0,0,0,0
05129,ANTIOQUIA,CALDAS,ene,MASCULINO,27,EDUCADOR,0,0,0,0,0,1,0
05129,ANTIOQUIA,CALDAS,mar,FEMENINO,14,ESTUDIANTE,0,1,0,0,0,0,0
05129,ANTIOQUIA,CALDAS,oct,MASCULINO,51,COMERCIANTE,0,0,1,0,0,0,0
05129,ANTIOQUIA,CALDAS,nov,FEMENINO,24,EMPLEADO PARTICULAR,0,0,0,0,0,0,1
05138,ANTIOQUIA,CAÑASGORDAS,may,MASCULINO,50,EMPLEADO PARTICULAR,2,0,0,0,0,0,0
05147,ANTIOQUIA,CAREPA,abr,MASCULINO,5,ESTUDIANTE,0,0,0,0,0,1,0
05147,ANTIOQUIA,CAREPA,ago,MASCULINO,25,EMPLEADO PARTICULAR,1,0,0,0,0,0,0
05147,ANTIOQUIA,CAREPA,ago,MASCULINO,34,EMPLEADO PARTICULAR,1,0,0,0,0,0,0
05148,ANTIOQUIA,EL CARMEN DE VIBORAL,abr,MASCULINO,11,ESTUDIANTE,0,1,0,0,0,0,0
05148,ANTIOQUIA,EL CARMEN DE VIBORAL,abr,MASCULINO,48,EMPLEADO PARTICULAR,0,0,0,1,0,0,0
05148,ANTIOQUIA,EL CARMEN DE VIBORAL,jun,MASCULINO,42,COMERCIANTE,0,0,1,0,0,0,0
05154,ANTIOQUIA,CAUCASIA,jul,MASCULINO,47,COMERCIANTE,0,1,0,0,0,0,0
05172,ANTIOQUIA,CHIGORODÓ,abr,MASCULINO,23,EMPLEADO PARTICULAR,0,0,0,0,1,0,0
05197,ANTIOQUIA,COCORNÁ,sep,FEMENINO,57,EDUCADOR,0,0,0,1,0,0,0
05212,ANTIOQUIA,COPACABANA,ene,MASCULINO,42,COMERCIANTE,0,0,0,0,0,1,0
05212,ANTIOQUIA,COPACABANA,jul,FEMENINO,17,ESTUDIANTE,0,0,0,0,0,0,1
05212,ANTIOQUIA,COPACABANA,oct,MASCULINO,28,EMPLEADO PARTICULAR,0,0,0,0,0,0,1
05250,ANTIOQUIA,EL BAGRE,jun,MASCULINO,12,ESTUDIANTE,0,0,0,1,0,0,0
05266,ANTIOQUIA,ENVIGADO,mar,MASCULINO,39,COMERCIANTE,1,0,0,0,0,0,0
05266,ANTIOQUIA,ENVIGADO,jun,FEMENINO,13,ESTUDIANTE,0,1,0,0,0,0,0
05266,ANTIOQUIA,ENVIGADO,jul,MASCULINO,37,EMPLEADO PARTICULAR,0,0,0,0,0,1,0
05284,ANTIOQUIA,FRONTINO,mar,MASCULINO,48,GANADERO,1,0,0,0,0,0,0
05284,ANTIOQUIA,FRONTINO,oct,MASCULINO,35,GANADERO,0,0,0,1,0,0,0
05310,ANTIOQUIA,GÓMEZ PLATA,mar,MASCULINO,67,PENSIONADO,0,1,0,0,0,0,0
05318,ANTIOQUIA,GUARNE,mar,MASCULINO,43,COMERCIANTE,0,0,1,0,0,0,0
05318,ANTIOQUIA,GUARNE,jul,MASCULINO,59,COMERCIANTE,0,0,1,0,0,0,0
05347,ANTIOQUIA,HELICONIA,feb,MASCULINO,52,COMERCIANTE,0,0,0,0,1,0,0
05360,ANTIOQUIA,ITAGUI,mar,FEMENINO,13,ESTUDIANTE,0,0,0,0,0,0,1
05360,ANTIOQUIA,ITAGUI,mar,MASCULINO,0,ESTUDIANTE,0,0,0,1,0,0,0
05360,ANTIOQUIA,ITAGUI,abr,MASCULINO,38,EMPLEADO PARTICULAR,0,0,0,0,0,0,1
05360,ANTIOQUIA,ITAGUI,jun,MASCULINO,-,DESEMPLEADO,0,0,1,0,0,0,0
05360,ANTIOQUIA,ITAGUI,ago,MASCULINO,18,ESTUDIANTE,0,1,0,0,0,0,0
05360,ANTIOQUIA,ITAGUI,oct,FEMENINO,10,ESTUDIANTE,0,0,0,0,0,0,1
05400,ANTIOQUIA,LA UNIÓN,oct,MASCULINO,60,COMERCIANTE,0,0,0,0,1,0,0
05440,ANTIOQUIA,MARINILLA,may,MASCULINO,28,AGRICULTOR,0,0,0,0,0,1,0
05490,ANTIOQUIA,NECOCLÍ,sep,MASCULINO,45,COMERCIANTE,0,0,0,0,0,1,0
05490,ANTIOQUIA,NECOCLÍ,oct,FEMENINO,27,AMA DE CASA,0,0,0,0,0,1,0
05490,ANTIOQUIA,NECOCLÍ,oct,MASCULINO,4,ESTUDIANTE,0,0,0,0,0,1,0
05490,ANTIOQUIA,NECOCLÍ,oct,MASCULINO,6,ESTUDIANTE,0,0,0,0,0,1,0
05501,ANTIOQUIA,OLAYA,feb,MASCULINO,17,ESTUDIANTE,1,0,0,0,0,0,0
05579,ANTIOQUIA,PUERTO BERRÍO,mar,MASCULINO,26,GANADERO,1,0,0,0,0,0,0
05579,ANTIOQUIA,PUERTO BERRÍO,jun,MASCULINO,27,AGRICULTOR,0,0,0,0,1,0,0
05579,ANTIOQUIA,PUERTO BERRÍO,jul,MASCULINO,28,COMERCIANTE,0,1,0,0,0,0,0
05579,ANTIOQUIA,PUERTO BERRÍO,jul,MASCULINO,41,COMERCIANTE,0,1,0,0,0,0,0
05579,ANTIOQUIA,PUERTO BERRÍO,ago,MASCULINO,10,ESTUDIANTE,0,0,0,0,0,0,1
05615,ANTIOQUIA,RIONEGRO,mar,MASCULINO,35,EMPLEADO PARTICULAR,0,0,0,0,1,0,0
05615,ANTIOQUIA,RIONEGRO,abr,MASCULINO,56,COMERCIANTE,0,0,1,0,0,0,0
05615,ANTIOQUIA,RIONEGRO,nov,FEMENINO,13,ESTUDIANTE,1,0,0,0,0,0,0
